municode,State,Municipality,Domestic_Tariff,Divisional_Area,DAC_Area,Fixed,January_marginal,February_marginal,March_marginal,April_marginal,May_marginal,June_marginal,July_marginal,Agust_marginal,September_marginal,October_marginal,November_marginal,December_marginal
1001,Aguascalientes,Aguascalientes,1,Bajio,Sur,43.62,2.265,2.428,2.575,2.729,2.916,3.104,3.394,3.723,4.088,4.081,4.012,3.402
1002,Aguascalientes,Asientos,1,Bajio,Sur,43.62,2.265,2.428,2.575,2.729,2.916,3.104,3.394,3.723,4.088,4.081,4.012,3.402
1003,Aguascalientes,Calvillo,1,Bajio,Sur,43.62,2.265,2.428,2.575,2.729,2.916,3.104,3.394,3.723,4.088,4.081,4.012,3.402
1004,Aguascalientes,Cosio,1,Bajio,Sur,43.62,2.265,2.428,2.575,2.729,2.916,3.104,3.394,3.723,4.088,4.081,4.012,3.402
1005,Aguascalientes,Jesus Maria,1,Bajio,Sur,43.62,2.265,2.428,2.575,2.729,2.916,3.104,3.394,3.723,4.088,4.081,4.012,3.402
1006,Aguascalientes,Pabellon de Arteaga,1,Bajio,Sur,43.62,2.265,2.428,2.575,2.729,2.916,3.104,3.394,3.723,4.088,4.081,4.012,3.402
1007,Aguascalientes,Rincon de Romos,1,Bajio,Sur,43.62,2.265,2.428,2.575,2.729,2.916,3.104,3.394,3.723,4.088,4.081,4.012,3.402
1008,Aguascalientes,San Jose de Gracia,1,Bajio,Sur,43.62,2.265,2.428,2.575,2.729,2.916,3.104,3.394,3.723,4.088,4.081,4.012,3.402
1009,Aguascalientes,Tepezala,1,Bajio,Sur,43.62,2.265,2.428,2.575,2.729,2.916,3.104,3.394,3.723,4.088,4.081,4.012,3.402
1010,Aguascalientes,El Llano,1,Bajio,Sur,43.62,2.265,2.428,2.575,2.729,2.916,3.104,3.394,3.723,4.088,4.081,4.012,3.402
1011,Aguascalientes,San Francisco de los Romo,1,Bajio,Sur,43.62,2.265,2.428,2.575,2.729,2.916,3.104,3.394,3.723,4.088,4.081,4.012,3.402
2001,Baja California,Ensenada,1,Baja California,Baja California,65.54,1.608,1.663,1.742,1.836,1.95,2.065,2.243,2.446,2.668,2.665,2.623,2.248
2002,Baja California,Mexicali,7,Baja California,Baja California,65.54,1.608,1.663,1.742,1.836,1.95,2.065,2.243,2.446,2.668,2.665,2.623,2.248
2003,Baja California,Tecate,2,Baja California,Baja California,65.54,1.608,1.663,1.742,1.836,1.95,2.065,2.243,2.446,2.668,2.665,2.623,2.248
2004,Baja California,Tijuana,2,Baja California,Baja California,65.54,1.608,1.663,1.742,1.836,1.95,2.065,2.243,2.446,2.668,2.665,2.623,2.248
2005,Baja California,Playas de Rosarito,1,Baja California,Baja California,65.54,1.608,1.663,1.742,1.836,1.95,2.065,2.243,2.446,2.668,2.665,2.623,2.248
3001,Baja California Sur,Comondu,4,Baja California Sur,Baja California Sur,65.54,2.196,2.454,2.548,2.723,2.934,3.148,3.476,3.85,4.263,4.254,4.177,3.485
3002,Baja California Sur,Mulege,2,Baja California Sur,Baja California Sur,65.54,2.196,2.454,2.548,2.723,2.934,3.148,3.476,3.85,4.263,4.254,4.177,3.485
3003,Baja California Sur,La Paz,6,Baja California Sur,Baja California Sur,65.54,2.196,2.454,2.548,2.723,2.934,3.148,3.476,3.85,4.263,4.254,4.177,3.485
3008,Baja California Sur,Los Cabos,4,Baja California Sur,Baja California Sur,65.54,2.196,2.454,2.548,2.723,2.934,3.148,3.476,3.85,4.263,4.254,4.177,3.485
3009,Baja California Sur,Loreto,6,Baja California Sur,Baja California Sur,65.54,2.196,2.454,2.548,2.723,2.934,3.148,3.476,3.85,4.263,4.254,4.177,3.485
4001,Campeche,Calkini,4,Peninsular,Peninsular,49.56,2.367,2.509,2.69,2.85,3.044,3.241,3.542,3.884,4.263,4.256,4.185,3.549
4002,Campeche,Campeche,4,Peninsular,Peninsular,49.56,2.367,2.509,2.69,2.85,3.044,3.241,3.542,3.884,4.263,4.256,4.185,3.549
4003,Campeche,Carmen,4,Peninsular,Peninsular,49.56,2.367,2.509,2.69,2.85,3.044,3.241,3.542,3.884,4.263,4.256,4.185,3.549
4004,Campeche,Champoton,4,Peninsular,Peninsular,49.56,2.367,2.509,2.69,2.85,3.044,3.241,3.542,3.884,4.263,4.256,4.185,3.549
4005,Campeche,Hecelchakan,4,Peninsular,Peninsular,49.56,2.367,2.509,2.69,2.85,3.044,3.241,3.542,3.884,4.263,4.256,4.185,3.549
4006,Campeche,Hopelchen,4,Peninsular,Peninsular,49.56,2.367,2.509,2.69,2.85,3.044,3.241,3.542,3.884,4.263,4.256,4.185,3.549
4007,Campeche,Palizada,4,Peninsular,Peninsular,49.56,2.367,2.509,2.69,2.85,3.044,3.241,3.542,3.884,4.263,4.256,4.185,3.549
4008,Campeche,Tenabo,4,Peninsular,Peninsular,49.56,2.367,2.509,2.69,2.85,3.044,3.241,3.542,3.884,4.263,4.256,4.185,3.549
4009,Campeche,Escarcega,4,Peninsular,Peninsular,49.56,2.367,2.509,2.69,2.85,3.044,3.241,3.542,3.884,4.263,4.256,4.185,3.549
4010,Campeche,Calakmul,4,Peninsular,Peninsular,49.56,2.367,2.509,2.69,2.85,3.044,3.241,3.542,3.884,4.263,4.256,4.185,3.549
4011,Campeche,Candelaria,4,Peninsular,Peninsular,49.56,2.367,2.509,2.69,2.85,3.044,3.241,3.542,3.884,4.263,4.256,4.185,3.549
5001,Coahuila de Zaragoza,Abasolo,5,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5002,Coahuila de Zaragoza,Acuna,6,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
5003,Coahuila de Zaragoza,Allende,4,Golfo Norte,Noreste,52.47,2.223,2.159,2.37,2.515,2.688,2.865,3.136,3.444,3.784,3.777,3.714,3.144
